Symbol,Quantity,Timeframe,EMA_Period,,
ABB,1,5minute,20,,
ACC,1,5minute,20,,
APLAPOLLO,1,5minute,20,,
AUBANK,1,5minute,20,,
ADANIENSOL,1,5minute,20,,
ADANIENT,1,5minute,20,,
ADANIGREEN,1,5minute,20,,
ADANIPORTS,1,5minute,20,,
ADANIPOWER,1,5minute,20,,
ATGL,1,5minute,20,,
ABCAPITAL,1,5minute,20,,
ABFRL,1,5minute,20,,
ALKEM,1,5minute,20,,
AMBUJACEM,1,5minute,20,,
APOLLOHOSP,1,5minute,20,,
APOLLOTYRE,1,5minute,20,,
ASHOKLEY,1,5minute,20,,
ASIANPAINT,1,5minute,20,,
ASTRAL,1,5minute,20,,
AUROPHARMA,1,5minute,20,,
DMART,1,5minute,20,,
AXISBANK,1,5minute,20,,
BSE,1,5minute,20,,
BAJAJ-AUTO,1,5minute,20,,
BAJFINANCE,1,5minute,20,,
BAJAJFINSV,1,5minute,20,,
BAJAJHLDNG,1,5minute,20,,
BAJAJHFL,1,5minute,20,,
BANDHANBNK,1,5minute,20,,
BANKBARODA,1,5minute,20,,
BANKINDIA,1,5minute,20,,
MAHABANK,1,5minute,20,,
BDL,1,5minute,20,,
BEL,1,5minute,20,,
BHARATFORG,1,5minute,20,,
BHEL,1,5minute,20,,
BPCL,1,5minute,20,,
BHARTIARTL,1,5minute,20,,
BHARTIHEXA,1,5minute,20,,
BIOCON,1,5minute,20,,
BOSCHLTD,1,5minute,20,,
BRITANNIA,1,5minute,20,,
CGPOWER,1,5minute,20,,
CANBK,1,5minute,20,,
CHOLAFIN,1,5minute,20,,
CIPLA,1,5minute,20,,
COALINDIA,1,5minute,20,,
COCHINSHIP,1,5minute,20,,
COFORGE,1,5minute,20,,
