Symbol,Quantity,Timeframe,EMA_Period,,
ABB,1,5minute,20,,
ACC,1,5minute,20,,
APLAPOLLO,1,5minute,20,,
AUBANK,1,5minute,20,,
ADANIENSOL,1,5minute,20,,
ADANIENT,1,5minute,20,,
ADANIGREEN,1,5minute,20,,
ADANIPORTS,1,5minute,20,,
ADANIPOWER,1,5minute,20,,
ATGL,1,5minute,20,,
ABCAPITAL,1,5minute,20,,
ABFRL,1,5minute,20,,
ALKEM,1,5minute,20,,
AMBUJACEM,1,5minute,20,,
APOLLOHOSP,1,5minute,20,,
APOLLOTYRE,1,5minute,20,,
ASHOKLEY,1,5minute,20,,
ASIANPAINT,1,5minute,20,,
ASTRAL,1,5minute,20,,
AUROPHARMA,1,5minute,20,,
DMART,1,5minute,20,,
AXISBANK,1,5minute,20,,
BSE,1,5minute,20,,
BAJAJ-AUTO,1,5minute,20,,
BAJFINANCE,1,5minute,20,,
BAJAJFINSV,1,5minute,20,,
BAJAJHLDNG,1,5minute,20,,
BAJAJHFL,1,5minute,20,,
BANDHANBNK,1,5minute,20,,
BANKBARODA,1,5minute,20,,
BANKINDIA,1,5minute,20,,
MAHABANK,1,5minute,20,,
BDL,1,5minute,20,,
BEL,1,5minute,20,,
BHARATFORG,1,5minute,20,,
BHEL,1,5minute,20,,
BPCL,1,5minute,20,,
BHARTIARTL,1,5minute,20,,
BHARTIHEXA,1,5minute,20,,
BIOCON,1,5minute,20,,
BOSCHLTD,1,5minute,20,,
BRITANNIA,1,5minute,20,,
CGPOWER,1,5minute,20,,
CANBK,1,5minute,20,,
CHOLAFIN,1,5minute,20,,
CIPLA,1,5minute,20,,
COALINDIA,1,5minute,20,,
COCHINSHIP,1,5minute,20,,
COFORGE,1,5minute,20,,
COLPAL,1,5minute,20,,
CONCOR,1,5minute,20,,
CUMMINSIND,1,5minute,20,,
DLF,1,5minute,20,,
DABUR,1,5minute,20,,
DIVISLAB,1,5minute,20,,
DIXON,1,5minute,20,,
DRREDDY,1,5minute,20,,
EICHERMOT,1,5minute,20,,
ESCORTS,1,5minute,20,,
EXIDEIND,1,5minute,20,,
NYKAA,1,5minute,20,,
FEDERALBNK,1,5minute,20,,
GAIL,1,5minute,20,,
GMRAIRPORT,1,5minute,20,,
GLENMARK,1,5minute,20,,
GODREJCP,1,5minute,20,,
GODREJPROP,1,5minute,20,,
GRASIM,1,5minute,20,,
HCLTECH,1,5minute,20,,
HDFCAMC,1,5minute,20,,
HDFCBANK,1,5minute,20,,
HDFCLIFE,1,5minute,20,,
HAVELLS,1,5minute,20,,
HEROMOTOCO,1,5minute,20,,
HINDALCO,1,5minute,20,,
HAL,1,5minute,20,,
HINDPETRO,1,5minute,20,,
HINDUNILVR,1,5minute,20,,
HINDZINC,1,5minute,20,,
HUDCO,1,5minute,20,,
HYUNDAI,1,5minute,20,,
ICICIBANK,1,5minute,20,,
ICICIGI,1,5minute,20,,
ICICIPRULI,1,5minute,20,,
IDFCFIRSTB,1,5minute,20,,
IRB,1,5minute,20,,
ITC,1,5minute,20,,
INDIANB,1,5minute,20,,
INDHOTEL,1,5minute,20,,
IOC,1,5minute,20,,
IRCTC,1,5minute,20,,
IRFC,1,5minute,20,,
IREDA,1,5minute,20,,
IGL,1,5minute,20,,
INDUSTOWER,1,5minute,20,,
INDUSINDBK,1,5minute,20,,
NAUKRI,1,5minute,20,,
INFY,1,5minute,20,,
INDIGO,1,5minute,20,,
JSWENERGY,1,5minute,20,,
JSWSTEEL,1,5minute,20,,
JINDALSTEL,1,5minute,20,,
JIOFIN,1,5minute,20,,
JUBLFOOD,1,5minute,20,,
KPITTECH,1,5minute,20,,
KALYANKJIL,1,5minute,20,,
KOTAKBANK,1,5minute,20,,
LTF,1,5minute,20,,
LICHSGFIN,1,5minute,20,,
LTIM,1,5minute,20,,
LT,1,5minute,20,,
LICI,1,5minute,20,,
LUPIN,1,5minute,20,,
MRF,1,5minute,20,,
LODHA,1,5minute,20,,
M&MFIN,1,5minute,20,,
M&M,1,5minute,20,,
MANKIND,1,5minute,20,,
MARICO,1,5minute,20,,
MARUTI,1,5minute,20,,
MFSL,1,5minute,20,,
MAXHEALTH,1,5minute,20,,
MAZDOCK,1,5minute,20,,
MOTILALOFS,1,5minute,20,,
MPHASIS,1,5minute,20,,
MUTHOOTFIN,1,5minute,20,,
NHPC,1,5minute,20,,
NMDC,1,5minute,20,,
NTPCGREEN,1,5minute,20,,
NTPC,1,5minute,20,,
NATIONALUM,1,5minute,20,,
NESTLEIND,1,5minute,20,,
OBEROIRLTY,1,5minute,20,,
ONGC,1,5minute,20,,
OIL,1,5minute,20,,
OLAELEC,1,5minute,20,,
PAYTM,1,5minute,20,,
OFSS,1,5minute,20,,
POLICYBZR,1,5minute,20,,
PIIND,1,5minute,20,,
PAGEIND,1,5minute,20,,
PATANJALI,1,5minute,20,,
PERSISTENT,1,5minute,20,,
PETRONET,1,5minute,20,,
PHOENIXLTD,1,5minute,20,,
PIDILITIND,1,5minute,20,,
POLYCAB,1,5minute,20,,
PFC,1,5minute,20,,
POWERGRID,1,5minute,20,,
PREMIERENE,1,5minute,20,,
PRESTIGE,1,5minute,20,,
PNB,1,5minute,20,,
RECLTD,1,5minute,20,,
RVNL,1,5minute,20,,
RELIANCE,1,5minute,20,,
SBICARD,1,5minute,20,,
SBILIFE,1,5minute,20,,
SJVN,1,5minute,20,,
SRF,1,5minute,20,,
MOTHERSON,1,5minute,20,,
SHREECEM,1,5minute,20,,
SHRIRAMFIN,1,5minute,20,,
SIEMENS,1,5minute,20,,
SOLARINDS,1,5minute,20,,
SONACOMS,1,5minute,20,,
SBIN,1,5minute,20,,
SAIL,1,5minute,20,,
SUNPHARMA,1,5minute,20,,
SUPREMEIND,1,5minute,20,,
SUZLON,1,5minute,20,,
SWIGGY,1,5minute,20,,
TVSMOTOR,1,5minute,20,,
TATACOMM,1,5minute,20,,
TCS,1,5minute,20,,
TATACONSUM,1,5minute,20,,
TATAELXSI,1,5minute,20,,
TATAMOTORS,1,5minute,20,,
TATAPOWER,1,5minute,20,,
TATASTEEL,1,5minute,20,,
TATATECH,1,5minute,20,,
TECHM,1,5minute,20,,
TITAN,1,5minute,20,,
TORNTPHARM,1,5minute,20,,
TORNTPOWER,1,5minute,20,,
TRENT,1,5minute,20,,
TIINDIA,1,5minute,20,,
UPL,1,5minute,20,,
ULTRACEMCO,1,5minute,20,,
UNIONBANK,1,5minute,20,,
UNITDSPR,1,5minute,20,,
VBL,1,5minute,20,,
VEDL,1,5minute,20,,
VMM,1,5minute,20,,
IDEA,1,5minute,20,,
VOLTAS,1,5minute,20,,
WAAREEENER,1,5minute,20,,
WIPRO,1,5minute,20,,
YESBANK,1,5minute,20,,
ZOMATO,1,5minute,20,,
ZYDUSLIFE,1,5minute,20,,
