instrument_token,tradingsymbol,name,exchange,instrument_type,segment,lot_size,tick_size
6067201,0MOFSL26-N1,"",NSE,EQ,NSE,1,0.05
6068225,0MOFSL27-N3,"",NSE,EQ,NSE,1,0.05
7534593,0NHIT34-N0,"",NSE,EQ,NSE,1,0.05
7532801,0NHIT35-N0,"",NSE,EQ,NSE,1,0.05
6580737,0RL34-N0,"",NSE,EQ,NSE,1,0.05
5961985,0SCL26-YR,"",NSE,EQ,NSE,1,0.05
5964545,0SCL27-YW,"",NSE,EQ,NSE,1,0.05
6180097,1003IIFL29-NC,"",NSE,EQ,NSE,1,0.05
5319425,1003ISFL28-N4,"",NSE,EQ,NSE,1,0.05
5968641,1003SCFL31-Z4,"",NSE,EQ,NSE,1,0.05
4831745,1003SCL30-BW,"",NSE,EQ,NSE,1,0.05
5149697,1003SCL30A-NV,"",NSE,EQ,NSE,1,0.05
6135553,1003SCL31-ZQ,"",NSE,EQ,NSE,1,0.05
6544897,1003SCL31A-N1,"",NSE,EQ,NSE,1,0.05
7405825,1003SCL31P-N1,"",NSE,EQ,NSE,1,0.05
7738369,1003SCL32-N1,"",NSE,EQ,NSE,1,0.05
3903745,1003SFIL28-NX,"",NSE,EQ,NSE,1,0.05
6284545,10157PCP27-N0,"",NSE,EQ,NSE,1,0.05
2041601,1015ECL29-NR,"",NSE,EQ,NSE,1,0.05
5965569,1015SCFL29-YY,"",NSE,EQ,NSE,1,0.05
5146113,1015SCL28-NR,"",NSE,EQ,NSE,1,0.05
3765761,1015SCL28A-AL,"",NSE,EQ,NSE,1,0.05
4490753,1015SCL28B-AZ,"",NSE,EQ,NSE,1,0.05
6131713,1015SCL29-ZL,"",NSE,EQ,NSE,1,0.05
6542849,1015SCL29B-N1,"",NSE,EQ,NSE,1,0.05
7404801,1015SCL29T-N1,"",NSE,EQ,NSE,1,0.05
7740417,1015SCL30-N1,"",NSE,EQ,NSE,1,0.05
6633473,1015UCL26-N1,"",NSE,EQ,NSE,1,0.05
193536001,1015UCL27-NF,"",NSE,EQ,NSE,1,0.05
1749249,1018GS2026-GS,""GOI LOAN 10.18% 2026"",NSE,EQ,NSE,1,0.05
6946305,1020CCSP27-N0,"",NSE,EQ,NSE,1,0.05
193575425,1025IIFL30-Y3,"",NSE,EQ,NSE,1,0.05
4440321,1025NFL25-N5,"",NSE,EQ,NSE,1,0.05
5969153,1025SCFL34-Z5,"",NSE,EQ,NSE,1,0.05
5383681,1025SCL33-YJ,"",NSE,EQ,NSE,1,0.05
4837633,1025SCL33A-N1,"",NSE,EQ,NSE,1,0.05
5970689,1025SCL34-Z8,"",NSE,EQ,NSE,1,0.05
6137345,1025SCL34A-ZT,"",NSE,EQ,NSE,1,0.05
6547201,1025SCL34B-N1,"",NSE,EQ,NSE,1,0.05
6545409,1025SCL34C-N1,"",NSE,EQ,NSE,1,0.05
7406081,1025SCL34U-N1,"",NSE,EQ,NSE,1,0.05
